second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
209,STATIC,-43364,-43364,0,3,0
210,STATIC,-49558,-49558,0,3,0
211,STATIC,-48996,-48996,0,3,0
212,STATIC,-47306,-47306,0,3,0
213,STATIC,-42238,-42238,0,3,0
214,STATIC,-41674,-41674,0,3,0
215,STATIC,-37732,-37732,0,3,0
216,STATIC,-42800,-42800,0,3,0
217,STATIC,-48996,-48996,0,3,0
218,STATIC,-50685,-50685,0,3,0
219,STATIC,-48996,-48996,0,3,0
220,STATIC,-47306,-47306,0,3,0
221,STATIC,-47870,-47870,0,3,0
222,STATIC,-48432,-48432,0,3,0
223,STATIC,-48432,-48432,0,3,0
224,STATIC,-56880,-56880,0,3,0
225,STATIC,-48996,-48996,0,3,0
226,STATIC,-53501,-53501,0,3,0
227,STATIC,-62512,-62512,0,3,0
228,STATIC,-56317,-56317,0,3,0
229,STATIC,-53500,-53500,0,3,0
230,STATIC,-59132,-59132,0,3,0
231,STATIC,-65890,-65890,0,3,0
232,STATIC,-64764,-64764,0,3,0
233,STATIC,-59696,-59696,0,3,0
234,STATIC,-57443,-57443,0,3,0
235,STATIC,-51812,-51812,0,3,0
236,STATIC,-48432,-48432,0,3,0
237,STATIC,-48432,-48432,0,3,0
238,STATIC,-52938,-52938,0,3,0
239,STATIC,-52938,-52938,0,3,0
240,STATIC,-48432,-48432,0,3,0
241,STATIC,-52938,-52938,0,3,0
242,STATIC,-53500,-53500,0,3,0
243,STATIC,-55190,-55190,0,3,0
244,STATIC,-59132,-59132,0,3,0
245,STATIC,-56317,-56317,0,3,0
246,STATIC,-55190,-55190,0,3,0
247,STATIC,-59132,-59132,0,3,0
248,STATIC,-57443,-57443,0,3,0
249,STATIC,-58006,-58006,0,3,0
250,STATIC,-64201,-64201,0,3,0
251,STATIC,-61385,-61385,0,3,0
252,STATIC,-54627,-54627,0,3,0
253,STATIC,-50122,-50122,0,3,0
254,STATIC,-48996,-48996,0,3,0
255,STATIC,-55190,-55190,0,3,0
256,STATIC,-52374,-52374,0,3,0
257,STATIC,-60822,-60822,0,3,0
258,STATIC,-56317,-56317,0,3,0
259,STATIC,-58006,-58006,0,3,0
260,STATIC,-58569,-58569,0,3,0
261,STATIC,-61385,-61385,0,3,0
262,STATIC,-60822,-60822,0,3,0
263,STATIC,-50685,-50685,0,3,0
264,STATIC,-60258,-60258,0,3,0
265,STATIC,-61385,-61385,0,3,0
266,STATIC,-63074,-63074,0,3,0
267,STATIC,-62512,-62512,0,3,0
268,STATIC,-56880,-56880,0,3,0
269,STATIC,-58569,-58569,0,3,0
270,STATIC,-59132,-59132,0,3,0
271,STATIC,-55754,-55754,0,3,0
272,STATIC,-61385,-61385,0,3,0
273,STATIC,-67017,-67017,0,3,0
274,STATIC,-66454,-66454,0,3,0
275,STATIC,-58006,-58006,0,3,0
276,STATIC,-58006,-58006,0,3,0
277,STATIC,-54064,-54064,0,3,0
278,STATIC,-55754,-55754,0,3,0
279,STATIC,-59132,-59132,0,3,0
280,STATIC,-62512,-62512,0,3,0
281,STATIC,-62512,-62512,0,3,0
282,STATIC,-62512,-62512,0,3,0
283,STATIC,-63638,-63638,0,3,0
284,STATIC,-57443,-57443,0,3,0
285,STATIC,-57443,-57443,0,3,0
286,STATIC,-60822,-60822,0,3,0
287,STATIC,-65890,-65890,0,3,0
288,STATIC,-71522,-71522,0,3,0
289,STATIC,-59696,-59696,0,3,0
290,STATIC,-60259,-60259,0,3,0
291,STATIC,-61948,-61948,0,3,0
292,STATIC,-64764,-64764,0,3,0
293,STATIC,-59132,-59132,0,3,0
294,STATIC,-67580,-67580,0,3,0
295,STATIC,-69832,-69832,0,3,0
296,STATIC,-73212,-73212,0,3,0
297,STATIC,-70396,-70396,0,3,0
298,STATIC,-70396,-70396,0,3,0
299,STATIC,-77154,-77154,0,3,0
300,STATIC,-70959,-70959,0,3,0
301,STATIC,-64764,-64764,0,3,0
302,STATIC,-65328,-65328,0,3,0
303,STATIC,-64201,-64201,0,3,0
304,STATIC,-61385,-61385,0,3,0
305,STATIC,-64764,-64764,0,3,0
306,STATIC,-65328,-65328,0,3,0
307,STATIC,-65328,-65328,0,3,0
308,STATIC,-66454,-66454,0,3,0
309,STATIC,-69270,-69270,0,3,0
310,STATIC,-66454,-66454,0,3,0
311,STATIC,-65890,-65890,0,3,0
312,STATIC,-70959,-70959,0,3,0
313,STATIC,-68706,-68706,0,3,0
314,STATIC,-67580,-67580,0,3,0
315,STATIC,-63075,-63075,0,3,0
316,STATIC,-61948,-61948,0,3,0
317,STATIC,-56880,-56880,0,3,0
318,STATIC,-61948,-61948,0,3,0
319,STATIC,-69270,-69270,0,3,0
320,STATIC,-69270,-69270,0,3,0
321,STATIC,-73212,-73212,0,3,0
322,STATIC,-66454,-66454,0,3,0
323,STATIC,-63638,-63638,0,3,0
324,STATIC,-62512,-62512,0,3,0
325,STATIC,-59696,-59696,0,3,0
326,STATIC,-62512,-62512,0,3,0
327,STATIC,-64201,-64201,0,3,0
328,STATIC,-62512,-62512,0,3,0
329,STATIC,-64201,-64201,0,3,0
330,STATIC,-63638,-63638,0,3,0
331,STATIC,-65890,-65890,0,3,0
332,STATIC,-61386,-61386,0,3,0
