utc,transaction_id,address,quantity,ok,latency_ms,error
2026-09-12T08:06:42Z,40,0,32,1,66.110,
2026-09-12T08:06:42Z,41,32,2,1,20.056,
2026-09-12T08:06:43Z,42,0,32,1,66.038,
2026-09-12T08:06:43Z,43,0,32,1,67.619,
2026-09-12T08:06:43Z,44,0,32,1,56.720,
2026-09-12T08:06:43Z,45,0,32,1,56.104,
2026-09-12T08:06:43Z,46,0,32,1,56.089,
2026-09-12T08:06:43Z,47,0,32,1,67.582,
2026-09-12T08:06:43Z,48,0,32,1,56.175,
2026-09-12T08:06:43Z,49,0,32,1,55.603,
2026-09-12T08:06:43Z,50,0,32,1,56.079,
2026-09-12T08:06:43Z,51,32,2,1,9.547,
2026-09-12T08:06:44Z,52,0,32,1,55.799,
2026-09-12T08:06:44Z,53,0,32,1,57.033,
2026-09-12T08:06:44Z,54,0,32,1,56.335,
2026-09-12T08:06:44Z,55,0,32,1,56.580,
2026-09-12T08:06:44Z,56,0,32,1,66.065,
2026-09-12T08:06:44Z,57,0,32,1,55.297,
2026-09-12T08:06:44Z,58,0,32,1,55.604,
2026-09-12T08:06:44Z,59,0,32,1,55.359,
2026-09-12T08:06:44Z,60,0,32,1,55.560,
2026-09-12T08:06:44Z,61,32,2,1,9.511,
2026-09-12T08:06:45Z,62,0,32,1,55.631,
2026-09-12T08:06:45Z,63,0,32,1,66.071,
2026-09-12T08:06:45Z,64,0,32,1,55.569,
2026-09-12T08:06:45Z,65,0,32,1,64.605,
2026-09-12T08:06:45Z,66,0,32,1,55.524,
2026-09-12T08:06:45Z,67,0,32,1,55.540,
2026-09-12T08:06:45Z,68,0,32,1,55.530,
2026-09-12T08:06:45Z,69,0,32,1,55.640,
2026-09-12T08:06:45Z,70,0,32,1,66.578,
2026-09-12T08:06:46Z,71,32,2,1,8.501,
2026-09-12T08:06:46Z,72,0,32,1,55.058,
2026-09-12T08:06:46Z,73,0,32,1,56.064,
2026-09-12T08:06:46Z,74,0,32,1,55.200,
2026-09-12T08:06:46Z,75,0,32,1,65.207,
2026-09-12T08:06:46Z,76,0,32,1,56.048,
2026-09-12T08:06:46Z,77,0,32,1,56.593,
2026-09-12T08:06:46Z,78,0,32,1,55.535,
2026-09-12T08:06:46Z,79,0,32,1,55.629,
2026-09-12T08:06:46Z,80,0,32,1,57.126,
2026-09-12T08:06:47Z,81,32,2,1,9.520,
2026-09-12T08:06:47Z,82,0,32,1,65.619,
2026-09-12T08:06:47Z,83,0,32,1,55.178,
2026-09-12T08:06:47Z,84,0,32,1,55.949,
2026-09-12T08:06:47Z,85,0,32,1,56.087,
2026-09-12T08:06:47Z,86,0,32,1,55.670,
2026-09-12T08:06:47Z,87,0,32,1,56.586,
2026-09-12T08:06:47Z,88,0,32,1,65.597,
2026-09-12T08:06:47Z,89,0,32,1,55.550,
2026-09-12T08:06:47Z,90,0,32,1,68.145,
2026-09-12T08:06:48Z,91,32,2,1,9.583,
2026-09-12T08:06:48Z,92,0,32,1,54.564,
2026-09-12T08:06:48Z,93,0,32,1,65.101,
2026-09-12T08:06:48Z,94,0,32,1,64.636,
2026-09-12T08:06:48Z,95,0,32,1,55.778,
2026-09-12T08:06:48Z,96,0,32,1,55.666,
2026-09-12T08:06:48Z,97,0,32,1,55.064,
2026-09-12T08:06:48Z,98,0,32,1,55.794,
2026-09-12T08:06:48Z,99,0,32,1,56.055,
2026-09-12T08:06:48Z,100,0,32,1,57.698,
2026-09-12T08:06:49Z,101,32,2,1,10.501,
2026-09-12T08:06:49Z,102,0,32,1,56.077,
2026-09-12T08:06:49Z,103,0,32,1,55.128,
2026-09-12T08:06:49Z,104,0,32,1,55.623,
2026-09-12T08:06:49Z,105,0,32,1,55.784,
2026-09-12T08:06:49Z,106,0,32,1,54.689,
2026-09-12T08:06:49Z,107,0,32,1,55.393,
2026-09-12T08:06:49Z,108,0,32,1,56.713,
2026-09-12T08:06:49Z,109,0,32,1,58.047,
2026-09-12T08:06:49Z,110,0,32,1,57.146,
2026-09-12T08:06:50Z,111,32,2,1,9.542,
2026-09-12T08:06:50Z,112,0,32,1,67.694,
2026-09-12T08:06:50Z,113,0,32,1,67.723,
2026-09-12T08:06:50Z,114,0,32,1,67.066,
2026-09-12T08:06:50Z,115,0,32,1,57.145,
2026-09-12T08:06:50Z,116,0,32,1,57.684,
2026-09-12T08:06:50Z,117,0,32,1,57.616,
2026-09-12T08:06:50Z,118,0,32,1,58.624,
2026-09-12T08:06:50Z,119,0,32,1,57.310,
2026-09-12T08:06:50Z,120,0,32,1,56.536,
2026-09-12T08:06:51Z,121,32,2,1,9.509,
2026-09-12T08:06:51Z,122,0,32,1,56.336,
2026-09-12T08:06:51Z,123,0,32,1,69.278,
2026-09-12T08:06:51Z,124,0,32,1,58.065,
2026-09-12T08:06:51Z,125,0,32,1,66.617,
2026-09-12T08:06:51Z,126,0,32,1,58.134,
2026-09-12T08:06:51Z,127,0,32,1,58.122,
2026-09-12T08:06:51Z,128,0,32,1,58.041,
2026-09-12T08:06:51Z,129,0,32,1,58.099,
2026-09-12T08:06:51Z,130,0,32,1,56.136,
2026-09-12T08:06:52Z,131,32,2,1,18.616,
2026-09-12T08:06:52Z,132,0,32,1,58.049,
2026-09-12T08:06:52Z,133,0,32,1,56.664,
2026-09-12T08:06:52Z,134,0,32,1,57.270,
2026-09-12T08:06:52Z,135,0,32,1,56.846,
2026-09-12T08:06:52Z,136,0,32,1,58.178,
2026-09-12T08:06:52Z,137,0,32,1,58.075,
2026-09-12T08:06:52Z,138,0,32,1,56.698,
2026-09-12T08:06:52Z,139,0,32,1,56.340,
2026-09-12T08:06:53Z,140,0,32,1,57.354,
2026-09-12T08:06:53Z,141,32,2,1,8.540,
2026-09-12T08:06:53Z,142,0,32,1,57.190,
2026-09-12T08:06:53Z,143,0,32,1,58.067,
2026-09-12T08:06:53Z,144,0,32,1,56.066,
2026-09-12T08:06:53Z,145,0,32,1,57.666,
2026-09-12T08:06:53Z,146,0,32,1,58.566,
2026-09-12T08:06:53Z,147,0,32,1,57.605,
2026-09-12T08:06:53Z,148,0,32,1,56.779,
2026-09-12T08:06:53Z,149,0,32,1,58.045,
2026-09-12T08:06:54Z,150,0,32,1,57.653,
2026-09-12T08:06:54Z,151,32,2,1,9.501,
2026-09-12T08:06:54Z,152,0,32,1,67.325,
2026-09-12T08:06:54Z,153,0,32,1,58.110,
2026-09-12T08:06:54Z,154,0,32,1,57.652,
2026-09-12T08:06:54Z,155,0,32,1,69.058,
2026-09-12T08:06:54Z,156,0,32,1,57.547,
2026-09-12T08:06:54Z,157,0,32,1,57.542,
2026-09-12T08:06:54Z,158,0,32,1,56.989,
2026-09-12T08:06:54Z,159,0,32,1,56.419,
2026-09-12T08:06:55Z,160,0,32,1,58.567,
2026-09-12T08:06:55Z,161,32,2,1,9.517,
2026-09-12T08:06:55Z,162,0,32,1,58.004,
2026-09-12T08:06:55Z,163,0,32,1,57.804,
2026-09-12T08:06:55Z,164,0,32,1,56.642,
2026-09-12T08:06:55Z,165,0,32,1,67.610,
2026-09-12T08:06:55Z,166,0,32,1,57.276,
2026-09-12T08:06:55Z,167,0,32,1,58.328,
2026-09-12T08:06:55Z,168,0,32,1,57.618,
2026-09-12T08:06:55Z,169,0,32,1,57.071,
2026-09-12T08:06:56Z,170,0,32,1,58.644,
2026-09-12T08:06:56Z,171,32,2,1,8.530,
2026-09-12T08:06:56Z,172,0,32,1,58.034,
2026-09-12T08:06:56Z,173,0,32,1,57.314,
2026-09-12T08:06:56Z,174,0,32,1,57.842,
2026-09-12T08:06:56Z,175,0,32,1,63.668,
2026-09-12T08:06:56Z,176,0,32,1,57.104,
2026-09-12T08:06:56Z,177,0,32,1,57.556,
2026-09-12T08:06:56Z,178,0,32,1,56.647,
2026-09-12T08:06:56Z,179,0,32,1,58.035,
2026-09-12T08:06:57Z,180,0,32,1,56.102,
2026-09-12T08:06:57Z,181,32,2,1,10.012,
2026-09-12T08:06:57Z,182,0,32,1,56.046,
2026-09-12T08:06:57Z,183,0,32,1,56.131,
2026-09-12T08:06:57Z,184,0,32,1,55.763,
2026-09-12T08:06:57Z,185,0,32,1,65.005,
2026-09-12T08:06:57Z,186,0,32,1,55.556,
2026-09-12T08:06:57Z,187,0,32,1,56.193,
2026-09-12T08:06:57Z,188,0,32,1,55.619,
2026-09-12T08:06:57Z,189,0,32,1,56.123,
2026-09-12T08:06:58Z,190,0,32,1,56.047,
