communication_state,crc_valid,exception,failure_stage,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,,3,89,44.1362,39.5759,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff52e0ffff52e0462f,451,196608,0,1784918527.1098733,0103000000204412
not mapped,True,,,3,90,44.5758,39.9976,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53f5ffff53f58a62,453,196608,0,1784918527.2225993,0103000000204412
not mapped,True,,,3,91,44.1449,40.2127,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5320ffff5320462f,454,196608,0,1784918527.3355107,0103000000204412
not mapped,True,,,3,92,44.3897,40.0079,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff556affff556a5dd0,455,196608,0,1784918527.4480352,0103000000204412
not mapped,True,,,3,93,44.2026,39.6391,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5260ffff52604651,456,196608,0,1784918527.5614767,0103000000204412
not mapped,True,,,3,94,44.1254,39.5874,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5455ffff54550984,457,196608,0,1784918527.6784399,0103000000204412
not mapped,True,,,3,95,43.9792,40.014,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5350ffff53500600,458,196608,0,1784918527.793995,0103000000204412
not mapped,True,,,3,96,43.9924,39.6099,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff548dffff548d29cd,460,196608,0,1784918527.9091048,0103000000204412
not mapped,True,,,3,97,44.1519,40.1665,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff554cffff554cd5cd,461,196608,0,1784918528.0236366,0103000000204412
not mapped,True,,,3,98,44.5716,40.1782,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53d3ffff53d3027f,462,196608,0,1784918528.1392043,0103000000204412
not mapped,True,,,3,99,44.5434,40.1593,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5272ffff52727e5f,463,196608,0,1784918528.2552402,0103000000204412
not mapped,True,,,3,100,44.5806,39.6137,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53d5ffff53d50a7d,464,196608,0,1784918528.3712852,0103000000204412
not mapped,True,,,3,101,44.5573,39.6069,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff526cffff526c5655,465,196608,0,1784918528.48631,0103000000204412
not mapped,True,,,3,102,44.13,39.5923,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5092ffff5092fe83,467,196608,0,1784918528.6003273,0103000000204412
not mapped,True,,,3,103,44.4465,40.0742,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5060ffff506046d3,468,196608,0,1784918528.7139676,0103000000204412
not mapped,True,,,3,104,44.4977,40.1079,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5295ffff52950a03,469,196608,0,1784918528.8279881,0103000000204412
not mapped,True,,,3,105,44.5662,40.0151,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff51eaffff51ea5eea,470,196608,0,1784918528.9410071,0103000000204412
not mapped,True,,,3,106,43.953,39.8835,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff51dbffff51dbe2fa,471,196608,0,1784918529.057539,0103000000204412
not mapped,True,,,3,107,44.0654,39.664,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff515dffff515dea86,472,196608,0,1784918529.1717415,0103000000204412
not mapped,True,,,3,108,44.7015,40.5777,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5316ffff53160e3d,474,196608,0,1784918529.283262,0103000000204412
