communication_state,crc_valid,exception,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,3,78,44.1548,40.1781,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff571dffff571de97f,3231,196608,0,1784915499.4456813,0103000000204412
not mapped,True,,3,79,44.9763,40.5859,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57aeffff57aead10,3232,196608,0,1784915499.5612419,0103000000204412
not mapped,True,,3,80,43.9782,39.8579,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5480ffff5480c5c9,3233,196608,0,1784915499.6758378,0103000000204412
not mapped,True,,3,81,44.142,39.587,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff551cffff551c15fd,3234,196608,0,1784915499.7923717,0103000000204412
not mapped,True,,3,82,43.9774,40.0092,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5500ffff5500c5f6,3235,196608,0,1784915499.906919,0103000000204412
not mapped,True,,3,83,43.9838,39.6294,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55cdffff55cd29b3,3237,196608,0,1784915500.021938,0103000000204412
not mapped,True,,3,84,45.0961,40.5623,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5552ffff5552fdc7,3238,196608,0,1784915500.1363194,0103000000204412
not mapped,True,,3,85,44.5485,40.0066,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5491ffff5491f9c6,3239,196608,0,1784915500.2514045,0103000000204412
not mapped,True,,3,86,43.9843,39.8802,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56fbffff56fb6162,3240,196608,0,1784915500.3639264,0103000000204412
not mapped,True,,3,87,44.5728,40.1817,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a7dffff5a7d6cd2,3241,196608,0,1784915500.4766285,0103000000204412
