host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:48:42.097149+08:00,1288540.937000000,2.469000,E_sensor_500g,channel_a,500.0,24552,2410629,-485930,-485930,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.194667+08:00,1288541.031000000,2.563000,E_sensor_500g,channel_a,500.0,24553,2410726,-485892,-485892,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.291689+08:00,1288541.125000000,2.657000,E_sensor_500g,channel_a,500.0,24554,2410823,-485871,-485871,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.390105+08:00,1288541.218000000,2.750000,E_sensor_500g,channel_a,500.0,24555,2410921,-485927,-485927,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.490124+08:00,1288541.328000000,2.860000,E_sensor_500g,channel_a,500.0,24556,2411020,-485911,-485911,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.587677+08:00,1288541.421000000,2.953000,E_sensor_500g,channel_a,500.0,24557,2411119,-485906,-485906,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.685282+08:00,1288541.515000000,3.047000,E_sensor_500g,channel_a,500.0,24558,2411216,-485908,-485908,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.782561+08:00,1288541.625000000,3.157000,E_sensor_500g,channel_a,500.0,24559,2411314,-485888,-485888,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.881673+08:00,1288541.718000000,3.250000,E_sensor_500g,channel_a,500.0,24560,2411413,-485907,-485907,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:42.979765+08:00,1288541.812000000,3.344000,E_sensor_500g,channel_a,500.0,24561,2411511,-485911,-485911,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.078032+08:00,1288541.906000000,3.438000,E_sensor_500g,channel_a,500.0,24562,2411610,-485872,-485872,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.175550+08:00,1288542.015000000,3.547000,E_sensor_500g,channel_a,500.0,24563,2411708,-485877,-485877,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.272809+08:00,1288542.109000000,3.641000,E_sensor_500g,channel_a,500.0,24564,2411804,-485927,-485927,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.369459+08:00,1288542.203000000,3.735000,E_sensor_500g,channel_a,500.0,24565,2411902,-485907,-485907,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.469480+08:00,1288542.312000000,3.844000,E_sensor_500g,channel_a,500.0,24566,2412000,-485909,-485909,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.566661+08:00,1288542.406000000,3.938000,E_sensor_500g,channel_a,500.0,24567,2412098,-485888,-485888,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.664327+08:00,1288542.500000000,4.032000,E_sensor_500g,channel_a,500.0,24568,2412196,-485883,-485883,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.762528+08:00,1288542.593000000,4.125000,E_sensor_500g,channel_a,500.0,24569,2412294,-485890,-485890,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.860206+08:00,1288542.703000000,4.235000,E_sensor_500g,channel_a,500.0,24570,2412391,-485886,-485886,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:43.959814+08:00,1288542.796000000,4.328000,E_sensor_500g,channel_a,500.0,24571,2412490,-485898,-485898,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:44.058836+08:00,1288542.890000000,4.422000,E_sensor_500g,channel_a,500.0,24572,2412589,-485904,-485904,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:44.158359+08:00,1288543.000000000,4.532000,E_sensor_500g,channel_a,500.0,24573,2412689,-485904,-485904,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
