host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T14:25:44.231428+08:00,1290763.062000000,2.984000,F_sensor_zero_after_500g,channel_a,0.0,47192,4632888,-43353,-43353,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.329548+08:00,1290763.171000000,3.093000,F_sensor_zero_after_500g,channel_a,0.0,47193,4632987,-43373,-43373,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.427378+08:00,1290763.265000000,3.187000,F_sensor_zero_after_500g,channel_a,0.0,47194,4633085,-43378,-43378,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.524899+08:00,1290763.359000000,3.281000,F_sensor_zero_after_500g,channel_a,0.0,47195,4633183,-43376,-43376,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.621937+08:00,1290763.453000000,3.375000,F_sensor_zero_after_500g,channel_a,0.0,47196,4633280,-43406,-43406,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.719014+08:00,1290763.546000000,3.468000,F_sensor_zero_after_500g,channel_a,0.0,47197,4633377,-43380,-43380,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.816552+08:00,1290763.656000000,3.578000,F_sensor_zero_after_500g,channel_a,0.0,47198,4633474,-43369,-43369,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:44.914451+08:00,1290763.750000000,3.672000,F_sensor_zero_after_500g,channel_a,0.0,47199,4633572,-43363,-43363,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:45.013656+08:00,1290763.843000000,3.765000,F_sensor_zero_after_500g,channel_a,0.0,47200,4633671,-43394,-43394,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:45.112685+08:00,1290763.953000000,3.875000,F_sensor_zero_after_500g,channel_a,0.0,47201,4633769,-43393,-43393,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:45.209257+08:00,1290764.046000000,3.968000,F_sensor_zero_after_500g,channel_a,0.0,47202,4633868,-43361,-43361,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:45.307755+08:00,1290764.140000000,4.062000,F_sensor_zero_after_500g,channel_a,0.0,47203,4633966,-43346,-43346,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:45.406817+08:00,1290764.234000000,4.156000,F_sensor_zero_after_500g,channel_a,0.0,47204,4634065,-43353,-43353,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
2026-08-05T14:25:45.503344+08:00,1290764.343000000,4.265000,F_sensor_zero_after_500g,channel_a,0.0,47205,4634162,-43358,-43358,4,0,0,0,12,high,true,,,,3.3,Real sensor unloaded after nominal 500 g test; first 60 s excluded for unloading recovery; setup otherwise unchanged; sensor and environment details not recorded; display refresh on; normal Modbus polling
