host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:15:33.794699+08:00,1286552.625000000,353.938000,D_sensor_zero,channel_a,0.0,4294,422225,-43388,-43388,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:33.892806+08:00,1286552.734000000,354.047000,D_sensor_zero,channel_a,0.0,4295,422323,-43401,-43401,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.038182+08:00,1286552.875000000,354.188000,D_sensor_zero,channel_a,0.0,4296,422456,-43413,-43413,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.137006+08:00,1286552.968000000,354.281000,D_sensor_zero,channel_a,0.0,4297,422554,-43403,-43403,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.186767+08:00,1286553.015000000,354.328000,D_sensor_zero,channel_a,0.0,4298,422617,-43386,-43386,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.333858+08:00,1286553.171000000,354.484000,D_sensor_zero,channel_a,0.0,4299,422751,-43388,-43388,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.431407+08:00,1286553.265000000,354.578000,D_sensor_zero,channel_a,0.0,4300,422848,-43396,-43396,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.529963+08:00,1286553.359000000,354.672000,D_sensor_zero,channel_a,0.0,4301,422946,-43394,-43394,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.627488+08:00,1286553.468000000,354.781000,D_sensor_zero,channel_a,0.0,4302,423045,-43374,-43374,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.726089+08:00,1286553.562000000,354.875000,D_sensor_zero,channel_a,0.0,4303,423143,-43362,-43362,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:34.824220+08:00,1286553.656000000,354.969000,D_sensor_zero,channel_a,0.0,4304,423241,-43362,-43362,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
